The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
"taking-11	for-10	-pcomp
The China Consumers Association said Monday that it had received five complaints of problems related with Benz cars in China, according to China Daily.	Benz cars	five complaints of problems
cars-18	problems-14	-pobj-prep-vmod
The exclusion of China from the recall has led to claims that the firm was biased against Chinese customers.	Chinese customers	was biased against
customers.-19	against-17	-pobj
The exclusion of China from the recall has led to claims that the firm was biased against Chinese customers.	 the firm	claims that the firm was biased against Chinese customers
firm-14	the-13	-det
The exclusion of China from the recall has led to claims that the firm was biased against Chinese customers.	 the firm	claims that the firm was biased against Chinese customers
firm-14	the-13	-det
The test, which was carried out in conformity with the rules for such cases, raised suspicions of BSE, which were later confirmed.	BSE	suspicions of
BSE,-18	of-17	-pobj
The minister went on to say that although mainland China is squeezing Taiwan's development space in the world community with its huge resources and strong diplomacy, the ROC can still break through its difficulties as long as it implements democracy and obtains the support of overseas Chinese communities.	overseas Chinese communities	support of
communities.-48	of-45	-pobj
Taipei, Aug. 17 (CNA) -- The Republic of China [ROC] government will push for Chinese language education among the vast number of Chinese communities in Southeast Asia, a high-ranking ROC official said Friday.	Chinese language education among the vast number of Chinese communities in Southeast Asia	will push for
in-25	push-13	-prep
Charges against the MDC leader arose after he allegedly told a crowd at the party's first anniversary last year that "... Zvatichada, what we would like to tell Mugabe today is that... please go peacefully.	Mugabe	would like to tell Mugabe today is that... please go peacefully
Mugabe-29	today-30	-nn
Charges against the MDC leader arose after he allegedly told a crowd at the party's first anniversary last year that "... Zvatichada, what we would like to tell Mugabe today is that... please go peacefully.	the MDC leader	Charges against
leader-5	against-2	-pobj
If the Supreme Court rules in favour of Mr Tsvangirai, who if convicted on the charges might face life imprisonment, the Attorney General's Office will have to draw up a new charge.	Mr Tsvangirai	rules in favour of
Tsvangirai,-10	of-8	-pobj
His trial was set to start at the High Court in May but the case was referred to the High Court after he challenged the legality of LOMA in the Supreme Court.	the legality of LOMA in the Supreme Court	challenged
legality-26	challenged-24	-dobj
But he opposed any steps that could plunge the country deeper into a recession that has already pushed unemployment, inflation and interest rates above 60 percent.	any steps that could plunge the country deeper into a recession that has already pushed unemployment, inflation and interest rates above 60 percent	opposed
steps-5	opposed-3	-dobj
Speaking in an address to the Cape Town Press club, Mr Tsvangirai, who is on a visit to South Africa, was quoted by Reuters as saying he was having to "rein in militants keen to fight President Mugabe's rule".	President Mugabe's rule	keen to fight
rule".-39	fight-36	-dobj
Speaking in an address to the Cape Town Press club, Mr Tsvangirai, who is on a visit to South Africa, was quoted by Reuters as saying he was having to "rein in militants keen to fight President Mugabe's rule".	fight President Mugabe's rule	keen to
fight-36	keen-34	-xcomp
Mr Tsvangirai endorsed a United States proposal for targeted sanctions against President Mugabe and members of his Government but said full economic sanctions would be a ruinous mistake.	a United States proposal for targeted sanctions against President Mugabe and members of his Government	endorsed
proposal-7	endorsed-3	-dobj
OPPOSITION youths are agitating to get guns to "shoot" President Mugabe "out of office," MDC leader, Mr Morgan Tsvangirai said in South Africa yesterday	to get guns to "shoot" President Mugabe "out of office	are agitating
get-6	agitating-4	-xcomp
Mr Tsvangirai called for international action to ensure a free and fair presidential election.	international action to ensure a free and fair presidential election	called for
ensure-8	called-3	-xcomp
"However, we do support certain limitations on the villains of the crisis in Zimbabwe," he said.	certain limitations on the villains of the crisis in Zimbabwe	do support
limitations-6	support-4	-dobj
But analysts expressed concern that the MDC leader is "flirting with mercenaries in South Africa".	the MDC leader is "flirting with mercenaries in South Africa	expressed concern
"flirting-10	expressed-3	-ccomp
The MDC leader also alleged that the Government was trying to provoke protests that could be used as an excuse to suspend democracy.	provoke protests	trying to
provoke-12	trying-10	-xcomp
The MDC leader also alleged that the Government was trying to provoke protests that could be used as an excuse to suspend democracy.	the Government	alleged that the Government was trying to provoke protests that could be used as an excuse to suspend democracy
Government-8	the-7	-det
Mr Tsvangirai might face charges of contravening the Law and Order Maintenance Act for allegedly threatening to violently remove President Mugabe from power last year.	violently remove President Mugabe from power last year	threatening to
remove-19	threatening-16	-xcomp
If you don't want to go peacefully, we will remove you violently."	to go peacefully	don't want
go-6	want-4	-xcomp
That is why, as MDC, we are reluctant at this stage to endorse the sanctions option.	to endorse the sanctions option	are reluctant
endorse-13	reluctant-8	-vmod-pobj-prep
That is why, as MDC, we are reluctant at this stage to endorse the sanctions option.	the sanctions option	endorse
option.-16	endorse-13	-dobj
The visit is aimed at strengthening military relations between the two countries.	strengthening military relations between the two countries	aimed at
strengthening-6	at-5	-pcomp
"We hope that this will serve as an occasion for LG to make inroads into the Central Asian region." Uzbekistan is the largest country in central Asia with a population of 23 million and rich in natural resources.	this will serve as an occasion for LG to make inroads into the Central Asian region	hope
serve-6	hope-2	-ccomp
It was the first time that a Taiwan labor group has been invited to participate in a meeting of the ILO, which is an affiliate of the United Nations.	a Taiwan labor group has been invited to participate in a meeting of the ILO	has been invited
invited-13	has-11	-aux
Lin told CNA that the CFL gained high appraisal in its efforts to protect the rights of Thai, Filipino, Indonesian and Vietnamese workers in Taiwan.	its efforts to protect the rights of Thai, Filipino, Indonesian and Vietnamese workers in Taiwan	high appraisal
protect-14	appraisal-9	-vmod-dobj
Lin told CNA that the CFL gained high appraisal in its efforts to protect the rights of Thai, Filipino, Indonesian and Vietnamese workers in Taiwan.	the CFL	high appraisal
CFL-6	appraisal-9	-nsubj-dobj
Taiwan is the only country in Asia that allows foreign laborers to enjoy the same salary levels as their local counterparts, which elevates its image in international society, Lin added.	Taiwan	elevates its image in
Taiwan-1	elevates-23	-nsubj-ref-nsubj-dobj-nsubj-prep-pobj-rcmod
Beijing opposes Taiwan's participation in any international organization in which sovereignty is a prerequisite.	Taiwan's participation in any international organization in which sovereignty is a prerequisite	opposes
participation-4	opposes-2	-dobj
Whereas, beforehand, it was anticipated and hoped that the agreements reached at Genoa would help bring about beneficial results for the Bonn conference as well.	that the agreements reached at Genoa would help bring about beneficial results for the Bonn conference as well	anticipated
reached-11	anticipated-5	-ccomp
Whereas, beforehand, it was anticipated and hoped that the agreements reached at Genoa would help bring about beneficial results for the Bonn conference as well.	that the agreements reached at Genoa would help bring about beneficial results for the Bonn conference as well	hoped
that-8	hoped-7	-ref-rcmod-conj
The conference opened with fierce demonstrations by the opponents of economic globalization, who maintained that what is being concocted by globalization is in fact poverty.	economic globalization	fierce demonstrations by the opponents of
globalization,-12	of-10	-pobj
As regards the recent conference (Bonn Meeting), although the past gatherings like the Hague meeting and Kyoto conference have proved to be failed experiences, nevertheless as the climatic and atmospheric crises are growing more serious, one can be optimistic and hopeful about the success of such protocols and pacts, and implementation of the agreements, even though they are not protected by any sanctions.	the success of such protocols and pacts, and implementation of the agreements	optimistic and hopeful about
success-44	about-42	-pobj
The joint demand and stand by the majority of countries attending the conference was encountered by firm opposition by the United States [of America].	The joint demand and stand by the majority of countries attending the conference	firm opposition
demand-3	opposition-18	-nsubjpass-prep-pobj
The Bonn Conference however, which dealt with the global environment and examined the condition of world climate, could be appraised as an exception and a relative success.	The Bonn Conference	appraised as an exception and a relative success
The-1	appraised-20	-det-nsubjpass
Because, from the very start it could be predicted that on the subject of economic globalization, the developed and capitalist states were going to come across fierce opposition by dissident groups and the supporters of economic growth in poor countries.	the developed and capitalist states	fierce opposition
states-21	opposition-28	-nsubj-mark-ref-rcmod-ccomp-xcomp-prep-pobj
Concerning the environmental protection issue, the emission of toxic and greenhouse gases, and warming up of the planet earth's climate too, which was somehow related to the [agenda of] Bonn Conference, America had relentlessly demonstrated its paradoxical [as published] [controversial] position and particular stance opposed to that of other developed states by her previous abandonment of the Kyoto Protocol.	that of other developed states	stance opposed to
that-47	to-46	-pobj
In the remarks made by these political leaders, one point is interesting and calls for reflection: if these leaders reject the interference of others in the condition and destiny of the poor nations, while present themselves legitimate and competent to make far reaching decisions for them, then it must be said that they are only the elected [leaders] of their own nation [people], and this does not entitle them to act as representative or legal attorney of all people worldwide!	the interference of others in the condition and destiny of the poor nations	reject
interference-22	reject-20	-dobj
The governments attending the conference had a long and varied agenda, including: economic globalization, the anti-missile shield defense project, the Kyoto Protocol and environmental protection, the political and military crises in the Middle East, the Balkans, and Afghanistan, moratorium on the accumulated debt of the poor countries, and ... [as published] They meant to reach some form of agreement or understanding about those issues, but unexpected events left all that in limbo and uncertainty.	those issues	agreement or understanding about
those-63	about-62	-det-pobj
Jacques Chirac, the French President, responding to the protests leveled by opponents of globalization, had said: "They have no right to present themselves as defenders of the world poor..."	globalization	protests
globalization,-14	protests-9	-pobj-prep-pobj-prep-vmod
Even the eagerness for playing an intermediary role in the Middle East crisis has given rise to fierce competition between America, European Union, and Russia and China.	playing an intermediary role in the Middle East crisis	eagerness for
playing-5	for-4	-pcomp
It was due to this isolation that America, in spite of discrediting [undermining] the Kyoto Protocol and declining to comply with the Bonn Conference [resolution], was forced to at least make a promise to cooperate in preventing an increase in air pollution.	comply with the Bonn Conference [resolution]	declining to
comply-20	declining-18	-xcomp
The first was that large and numerous bodies of dissidents were opposing the wishes and interests of a small but powerful group.	the wishes and interests of a small but powerful group	were opposing
wishes-14	opposing-12	-dobj
Nobody who has a live conscience and human feelings, whether he is Palestinian or otherwise, could not have been moved by these events and expressed sympathy for the families of the US victims, regardless of the US political stances that are totally biased to Israel and Israel's use of the most advanced US weapons to curb the Palestinian intifadah.	Israel	totally biased to
Israel-45	to-44	-pobj
Nobody who has a live conscience and human feelings, whether he is Palestinian or otherwise, could not have been moved by these events and expressed sympathy for the families of the US victims, regardless of the US political stances that are totally biased to Israel and Israel's use of the most advanced US weapons to curb the Palestinian intifadah.	the families of the US victims	expressed sympathy for
families-29	for-27	-pobj
The tragic and shocking events that shook the United States, destroying a number of its economic, urban, and military landmarks, have aroused grief and sorrow worldwide.	events that shook the United States	grief and sorrow
events-5	grief-23	-nsubj-dobj-nn
The scenes of destruction reminded the Palestinian people of the ongoing devastation and the Palestinians who are falling victim to the Israeli acts of bombardment, targeted assassinations, and incursions into Palestinian towns and villages, including Bayt Jala, Gaza, Khan Yunus, Rafah, Janin, Tulkarm, Ramlallah, Jericho, Nabulus, and others.	the Israeli	the ongoing devastation and the Palestinians who are falling victim to the Israeli acts of bombardment, targeted assassinations, and incursions into Palestinian towns and villages
the-21	acts-23	-det
The Palestinians want nothing from Washington but to understand their cause and stand beside right and justice.	nothing from Washington but to understand their cause and stand beside right and justice	want
nothing-4	want-3	-dobj
This is because the Palestinians were, and still are, hoping that the Americans would realize, if they have not already realized, the justice of the Palestinian cause and the enormous injustice suffered by the Palestinians, who were expelled from their homeland, whose land was occupied, and who were deprived of the minimum political and human rights.	the Americans would realize, if they have not already realized, the justice of the Palestinian cause and the enormous injustice suffered by the Palestinians, who were expelled from their homeland, whose land was occupied, and who were deprived of the minimum political and human rights	were, and still are, hoping
realize,-15	hoping-10	-ccomp
This is because the Palestinians were, and still are, hoping that the Americans would realize, if they have not already realized, the justice of the Palestinian cause and the enormous injustice suffered by the Palestinians, who were expelled from their homeland, whose land was occupied, and who were deprived of the minimum political and human rights.	the justice of the Palestinian cause and the enormous injustice suffered by the Palestinians, who were expelled from their homeland, whose land was occupied, and who were deprived of the minimum political and human rights	would realize
justice-23	realize,-15	-dobj-advcl
While the world is busy following the news of the attacks on the US targets and feeling sorry for these acts, Israel carried out an incursion into Janin and the neighboring villages, bombarded more Palestinian internal security sites, demolished more homes in East Jerusalem, and killed an additional number of Palestinian activists and non-activists, including an 11-year-old girl.	these acts	feeling sorry for
these-20	for-19	-det-pobj
US authorities have asked Interpol to organize a police team specialized in identifying victims, they said, refusing to comment further on the status of Interpol's collaboration, saying, "We do not want to do anything which could undermine FBI investigations."	comment further on the status of Interpol's collaboration	refusing to
comment-19	refusing-17	-xcomp
US authorities have asked Interpol to organize a police team specialized in identifying victims, they said, refusing to comment further on the status of Interpol's collaboration, saying, "We do not want to do anything which could undermine FBI investigations."	do anything which could undermine FBI investigations	do not want to
do-33	want-31	-xcomp
The 1998 warrant charged that Bin-Ladin, a Saudi billionaire housed as a "guest" in Afghanistan, was involved in the 1994 murder of two Germans in Syrte, Libya.	Bin-Ladin	charged that Bin-Ladin, a Saudi billionaire housed as a "guest" in Afghanistan, was involved in the 1994 murder of two Germans in Syrte, Libya
Bin-Ladin,-6	billionaire-9	-dobj
Merchant vessels have been warned to operate several miles off the coast to prevent being detected by rebels along the northeastern seaboard.	Merchant vessels	have been warned to operate several miles off the coast to prevent being detected by rebels along the northeastern seaboard
vessels-2	warned-5	-nsubjpass
We are grateful for the strong support expressed by the international community, particularly the SADC member states."	the strong support expressed by the international community, particularly the SADC member states	grateful for
support-7	for-4	-pobj
Ramsamy also condemned last Tuesday's terror attacks in the United States.	last Tuesday's terror attacks in the United States	condemned
Tuesday's-5	condemned-3	-dobj
The people of the US are known for their strong sense of justice which will no doubt see them through this trying time and bring the culprits to book."	The people of the US	are known for their strong sense of justice
people-2	known-7	-nsubjpass
"The SADC secretariat condemns unreservedly and in the strongest terms this act of terrorism," he said.	this act of terrorism	condemns unreservedly and in the strongest terms
act-12	condemns-4	-nsubj-ccomp
"We learnt of the attacks with great shock and sorrow," the ministers said.	the attacks	learnt of the attacks with great shock and sorrow
attacks-5	of-3	-pobj
Ramsamy also read a joint statement made on Thursday at the close of a meeting of SADC foreign and finance ministers in Blantyre, Malawi, labelling the terror attacks ghastly and barbaric.	the terror attacks	labelling the terror attacks ghastly and barbaric
terror-27	labelling-25	-dobj
A young Arab chemical engineer contacted him the next day, he said, to ask him to act as an intermediary in the sale of the nuclear fuel from the Kozlodui nuclear power plant.	him to act as an intermediary in the sale of the nuclear fuel from the Kozlodui nuclear power plant	ask
him-15	ask-14	-dobj
The businessman said he turned down an offer of a 200,000 dollar commission for the sale.	an offer of a 200,000 dollar commission for the sale	turned down
offer-8	turned-5	-dobj
The MOFA spokeswoman affirmed that from the angle of Eastern and Western cultural exchanges, the sponsoring of similar conferences will be instrumental to mainland Chinese people's better understanding of Catholicism and its contributions to Chinese society.	the sponsoring of similar conferences	affirmed that from the angle of Eastern and Western cultural exchanges, the sponsoring of similar conferences will be instrumental to mainland Chinese people's better understanding of Catholicism and its contributions to Chinese society
sponsoring-16	the-15	-det
Chang also reaffirmed the solid and cordial diplomatic links between the Republic of China and the Vatican.	diplomatic links between the Republic of China and the Vatican	reaffirmed the solid and cordial
links-9	the-4	-det
"The ROC government will be with the US government firmly."	the US government	will be with the US government firmly
the-7	firmly."-10	-det
Chen again voiced his condolences to the families of the thousands of Americans killed when hijacked planes plunged into the New York World Trade Center and Pentagon on September 11.	the families of the thousands of Americans killed	voiced his condolences to
families-8	to-6	-pobj
Taiwan's Foreign Minister Tien Hung-mao had vowed to back the US in fighting terrorism saying Taiwan had "no option" but to do so, despite a lack of diplomatic ties between Taipei and Washington.	the US in fighting terrorism	back
US-11	back-9	-dobj
TAIPEI, Sept 26 (AFP) -- Taiwan President Chen Shui-bian on Wednesday reiterated Taipei's full support for the United States as Washington prepared to launch reprisals against Afghanistan.	the United States	full support for
States-19	for-16	-pobj
"On behalf of the government and people of the Republic of China (Taiwan's official name), I would like to extend our full support to the George W. Bush administration in its any decision and act against terrorists," Chen said while meeting Oregon governor John Kitzhaber.	extend our full support to the George W. Bush administration in its any decision and act against terrorists	would like to
extend-20	like-18	-xcomp
"On behalf of the government and people of the Republic of China (Taiwan's official name), I would like to extend our full support to the George W. Bush administration in its any decision and act against terrorists," Chen said while meeting Oregon governor John Kitzhaber.	the George W. Bush administration in its any decision and act against terrorists	extend our full support to
administration-29	to-24	-pobj
He was criticized more than recognized for his policy.	He	was criticized more than recognized for
He-1	criticized-3	-nsubjpass
He was criticized more than recognized for his policy.	his policy	was criticized more than recognized for
policy.-9	for-7	-pobj
Feeling like a true ally, he was able to ask for a place for Russia almost inconspicuously - in NATO.	a place for Russia almost inconspicuously - in NATO	to ask for
in-19	ask-10	-prep
Although these are sovereign states, and the final decision would have been in their hands, people familiar with the actual balance of power indicate that these states would have done nothing, had Moscow wanted a different thing to happen.	a different thing to happen	wanted
thing-37	wanted-34	-dobj
Nevertheless, one could not fail taking note of the fact that in the same response the United States called upon the Chechens to "unconditionally and without delay to terminate every contact with international terrorist groups," and that they accept Putin's offer to make peace.	the Chechens to "unconditionally and without delay to terminate every contact with international terrorist groups," and that they accept Putin's offer to make peace	called upon the Chechens to "unconditionally and without delay
to-23	called-19	-prep
Nevertheless, one could not fail taking note of the fact that in the same response the United States called upon the Chechens to "unconditionally and without delay to terminate every contact with international terrorist groups," and that they accept Putin's offer to make peace.	Putin's offer to make peace	accept
offer-41	accept-39	-ccomp
The military great power that towers over Afghanistan has committed itself to overthrow the ruling Taliban system, and has pledged to support the US "anti-terrorism military operation" now being prepared.	the US "anti-terrorism military operation" now being prepared	has pledged to support
operation"-27	support-22	-dobj
Putin has no greater desire than to present to the West the Chechen independence movement as a chapter of "international terror." He did not succeed with that so far.	to present to the West the Chechen independence movement as a chapter of "international terror	has no greater desire than
present-8	desire-5	-vmod
In reality, Putin asked for a free hand regarding Chechnia, some understanding, or even that the Americans look the other way.	a free hand regarding Chechnia, some understanding, or even that the Americans look the other way	asked for
hand-8	for-5	-pobj
He wanted to become an ally, and that's what he has become.	to become an ally	wanted
become-4	wanted-2	-xcomp
The situation in which Putin has agreed to open former Soviet military airfields to American armed forces in three (former Soviet) Central Asian countries could be regarded as dramatic.	to open former Soviet military airfields to American armed forces in three (former Soviet) Central Asian countries	has agreed
open-9	agreed-7	-xcomp
Accordingly, Russia has joined the anti-terrorist coalition of the United States virtually without reservation.	joined the anti-terrorist coalition of the United States	virtually without reservation
joined-4	without-13	-prep
In Berlin, where he was the center of stormy celebration, he vindicated for himself the deeper truth that may be seen behind terror.	he	stormy celebration
Berlin,-2	celebration,-10	-pcomp-prep
In Berlin, where he was the center of stormy celebration, he vindicated for himself the deeper truth that may be seen behind terror.	he	vindicated for himself
Berlin,-2	vindicated-12	-pcomp-prep-dep
After Putin's statement they rubbed their palms at length.	Putin's statement	rubbed their palms at length
statement-3	rubbed-5	-pobj-prep
Putin did not receive what he sought in a quick response from Washington, namely, that the State Department would continue to encourage political dialogue between Moscow and the Chechen insurgents.	the State Department would continue to encourage political dialogue between Moscow and the Chechen insurgents	sought
continue-20	sought-7	-ccomp
Putin did not receive what he sought in a quick response from Washington, namely, that the State Department would continue to encourage political dialogue between Moscow and the Chechen insurgents.	political dialogue between Moscow and the Chechen insurgents	to encourage
dialogue-24	encourage-22	-dobj
Authorities are only too aware that Kashgar is 4,000 kilometres (2,500 miles) from Beijing but only a tenth of the distance from the Pakistani border, and are desperate to ensure instability or militancy does not leak over the frontiers.	Kashgar is 4,000 kilometres (2,500 miles) from Beijing but only a tenth of the distance from the Pakistani border	only too aware
kilometres-10	aware-5	-ccomp
Authorities are only too aware that Kashgar is 4,000 kilometres (2,500 miles) from Beijing but only a tenth of the distance from the Pakistani border, and are desperate to ensure instability or militancy does not leak over the frontiers.	ensure instability or militancy does not leak over the frontiers	desperate to
ensure-30	desperate-28	-xcomp
BEIJING, Sept 27 (AFP) - China has arrested a number of suspected separatists in its territory bordering Afghanistan and Pakistan as part of a security clampdown ahead of possible US military strikes in the region, local officials said Thursday.	separatists	suspected
separatists-13	suspected-12	-amod
There have been a series of bomb blasts in recent years in Urumqi and Beijing, linked to Xinjiang separatists seeking to establish an independent state of East Turkistan.	establish an independent state of East Turkistan	seeking to
establish-22	seeking-20	-xcomp
He also said increasing troop movements had been seen at night around Kashgar, but was unsure where they were going or what their orders were.	where they were going or what their orders were	unsure
going-20	unsure-16	-advcl
"Many people have been arrested in the past weeks, including suspected separatists and criminals," said an official at the minority religious affairs bureau in Kashgar, Xinjiang, China's furthest west city.	separatists and criminals	suspected
separatists-12	suspected-11	-amod
China has been keeping a particularly close eye on the situation in Xinjiang as expectation mounts the US will launch military action against Afghanistan, home to the suspected mastermind of the terror attacks, Osama bin Laden [Usama Bin Ladin].	Osama bin Laden	suspected mastermind of the terror attacks
Osama-34	attacks,-33	-nn-nn
However, the foundation warned that the number of pirate attacks, in the new form of sea jacking ships for ransom, has been increasing.	the number of pirate attacks, in the new form of sea jacking ships for ransom, has been increasing	warned
increasing.-23	warned-4	-ccomp
The PRL [Liberal Reform Party] and the PSC [Christian Social Party] opposition party continue to support the strikes but criticize the fact that the humanitarian operations are taking place alongside them.	the strikes	continue to support
strikes-18	support-16	-dobj
The PRL [Liberal Reform Party] and the PSC [Christian Social Party] opposition party continue to support the strikes but criticize the fact that the humanitarian operations are taking place alongside them.	the fact that the humanitarian operations are taking place alongside them	criticize
fact-22	criticize-20	-dobj
For the PS [Socialist Party], Senator Jean Cornil still supports them, while being increasingly critical.	them	still supports
them,-11	supports-10	-dobj
For the PS [Socialist Party], Senator Jean Cornil still supports them, while being increasingly critical.	them	increasingly critical
them,-11	critical.-15	-dobj-prep-pcomp
Ecolo and Agalev [ecologist parties] are asking for the ending of the bombing of Afghanistan.	the ending of the bombing of Afghanistan	are asking for
ending-10	for-8	-pobj
SHANGHAI, Oct 16 (AFP) - Malaysian Foreign Minister Syed Hamid Albar warned Tuesday that prolonged military attacks on Afghanistan could destabilise the Islamic world and reiterated calls for the US to end the campaign quickly.	the US to end the campaign quickly	reiterated calls for
end-32	reiterated-26	-vmod
SHANGHAI, Oct 16 (AFP) - Malaysian Foreign Minister Syed Hamid Albar warned Tuesday that prolonged military attacks on Afghanistan could destabilise the Islamic world and reiterated calls for the US to end the campaign quickly.	prolonged military attacks on Afghanistan	could destabilise the Islamic world
attacks-17	destabilise-21	-nsubj
SHANGHAI, Oct 16 (AFP) - Malaysian Foreign Minister Syed Hamid Albar warned Tuesday that prolonged military attacks on Afghanistan could destabilise the Islamic world and reiterated calls for the US to end the campaign quickly.	prolonged military attacks on Afghanistan	warned Tuesday that prolonged military attacks on Afghanistan could destabilise the Islamic world
attacks-17	prolonged-15	-amod
SHANGHAI, Oct 16 (AFP) - Malaysian Foreign Minister Syed Hamid Albar warned Tuesday that prolonged military attacks on Afghanistan could destabilise the Islamic world and reiterated calls for the US to end the campaign quickly.	prolonged military attacks on Afghanistan could destabilise the Islamic world	warned
destabilise-21	warned-12	-ccomp
Islamic countries are with the US in combatting terrorism but we don't want it to be prolonged because it can create trouble and instability all around the Islamic world," he said.	it to be prolonged	don't want
it-14	want-13	-dobj
Islamic countries are with the US in combatting terrorism but we don't want it to be prolonged because it can create trouble and instability all around the Islamic world," he said.	it	can create trouble and instability all around the Islamic world
are-3	create-21	-prep-pcomp-dep-dobj-nsubj-advcl
Islamic countries are with the US in combatting terrorism but we don't want it to be prolonged because it can create trouble and instability all around the Islamic world," he said.	it	can create trouble and instability all around the Islamic world
are-3	create-21	-prep-pcomp-dep-dobj-nsubj-advcl
Islamic countries are with the US in combatting terrorism but we don't want it to be prolonged because it can create trouble and instability all around the Islamic world," he said.	the US in combatting terrorism	are with
in-7	are-3	-prep
"If it goes on, we are worried.	it goes on	are worried
on,-4	worried.-7	-rcmod
"We hope it can be ended as soon as possible," Syed Hamid told AFP in an interview here ahead of a ministerial gathering of the Asia-Pacific Economic Cooperation (APEC) forum.	it can be ended as soon as possible	hope
ended-6	hope-2	-ccomp
Predominantly Muslim Malaysia supports the US hunt for terrorists but opposes the attacks on Afghanistan.	the attacks on Afghanistan	opposes
attacks-13	opposes-11	-dobj
Predominantly Muslim Malaysia supports the US hunt for terrorists but opposes the attacks on Afghanistan.	the US hunt for terrorists	supports
hunt-7	supports-4	-dobj
"We are worried that Islamic states like ourselves that support the US efforts, ultimately the population will rise against us, seeing all these innocent people being killed ...	the US efforts	support
efforts,-13	support-10	-dobj
"We are worried that Islamic states like ourselves that support the US efforts, ultimately the population will rise against us, seeing all these innocent people being killed ...	ultimately the population will rise against us, seeing all these innocent people being killed	are worried
ultimately-14	worried-3	-advmod-ccomp-ccomp
